"","RVSN_ADDR_CD","year","misc_n","misc_cost","misc_case","deliv_n","deliv_cost","deliv_case","N46_n","N97_n","O00_n","O01_n","O02_n","O03_n","O05_n","O06_n","O08_n","O80_n","O81_n","O82_n","O83_n","O84_n","Z32_n","O04_n","NA_n","O07_n","N46_cost","N97_cost","O00_cost","O01_cost","O02_cost","O03_cost","O05_cost","O06_cost","O08_cost","O80_cost","O81_cost","O82_cost","O83_cost","O84_cost","Z32_cost","O04_cost","NA_cost","O07_cost","N46_case","N97_case","O00_case","O01_case","O02_case","O03_case","O05_case","O06_case","O08_case","O80_case","O81_case","O82_case","O83_case","O84_case","Z32_case","O04_case","NA_case","O07_case"
"983",44810,2021,20,8094770,58,36,85363160,43,70,112,6,1,8,4,0,0,1,7,1,20,6,2,6,0,0,0,13191330,193552470,3806040,114370,3720900,423980,0,0,29480,13924300,3207550,47490580,13521740,7218990,1476510,0,0,0,140,1146,18,1,29,9,0,0,1,7,2,25,6,3,14,0,0,0
"984",44810,2022,24,10315850,81,31,76815520,41,56,92,6,0,14,4,0,0,0,7,0,21,2,1,10,0,0,0,10844600,181957410,737060,0,7934160,1644630,0,0,0,14525970,0,54551630,3538890,4199030,1824820,0,0,0,113,949,14,0,55,12,0,0,0,7,0,31,2,1,19,0,0,0
"985",44810,2023,26,14175550,72,42,106959210,45,68,103,7,0,15,1,0,1,0,11,0,27,2,2,6,2,0,0,11479850,219721330,2719480,0,9095360,551070,0,612000,0,26191200,0,71708660,3818590,5240760,707410,1197640,0,0,145,1095,14,0,51,4,0,1,0,12,0,29,2,2,12,2,0,0
"986",44825,2018,18,6120290,56,15,30618050,18,46,101,4,1,10,2,0,0,1,4,1,9,0,1,7,0,0,0,5473570,84295200,2324050,38460,3592770,143110,0,0,21900,6009590,2107670,20651680,0,1849110,883830,0,0,0,79,779,20,1,28,5,0,0,2,4,1,12,0,1,15,0,0,0
"987",44825,2019,24,15363320,47,31,64983110,41,55,93,3,0,10,7,0,0,4,11,2,16,0,2,6,0,0,0,8155790,102691120,10148490,0,2873310,1150540,0,0,1190980,17496290,3907600,37844170,0,5735050,523800,0,0,0,103,775,11,0,17,15,0,0,4,13,3,21,0,4,17,0,0,0
"988",44825,2020,23,30068130,65,30,65226860,32,61,102,1,0,17,4,0,0,1,7,0,22,0,1,2,0,0,0,7748540,121173960,72870,0,7792750,22165320,0,0,37190,11299770,0,50923980,0,3003110,44270,0,0,0,107,784,1,0,56,7,0,0,1,8,0,23,0,1,2,0,0,0
"989",44825,2021,17,3981950,51,35,82756490,42,54,118,6,0,7,3,0,1,0,7,1,25,1,1,0,0,0,0,8755260,195045770,991350,0,2766150,118000,0,106450,0,12524030,3184430,62069830,2482090,2496110,0,0,0,0,107,1053,23,0,17,9,0,2,0,8,1,30,1,2,0,0,0,0
"990",44825,2022,25,12130720,60,48,118139090,54,60,95,4,0,13,7,0,0,1,8,0,37,0,3,7,0,0,0,11905550,221295160,2754630,0,6399230,2919900,0,0,56960,16537780,0,94214210,0,7387100,777400,0,0,0,133,1085,18,0,33,8,0,0,1,8,0,43,0,3,10,0,0,0
"991",44825,2023,14,4913500,34,39,101823530,50,53,95,4,0,8,2,0,0,0,4,0,33,0,2,7,0,0,0,10321420,173404830,731390,0,3802510,379600,0,0,0,6692150,0,88016780,0,7114600,1641470,0,0,0,107,781,10,0,20,4,0,0,0,5,0,43,0,2,19,0,0,0
"992",45111,2018,280,70629870,641,169,341901680,194,435,924,100,2,112,24,2,7,32,25,51,89,1,3,114,1,0,0,64843210,809420430,24383000,214190,38519510,4511680,280810,612430,2055550,33895910,93900170,206608590,20970,7476040,30691090,52700,0,0,785,7102,244,7,288,35,2,8,55,28,54,106,1,5,340,2,0,0
"993",45111,2019,287,79324130,604,333,749469370,383,409,868,87,3,106,31,10,10,39,52,93,172,5,11,178,1,0,0,62465720,713295230,29941970,409900,36950430,2803830,299900,5845760,2523200,85040090,189278120,425872320,10151150,39127690,100737760,549140,0,0,712,6355,190,11,256,48,14,11,72,57,95,209,5,17,537,2,0,0
